,author,comment
0,Артур Шопенгауэр,Сигара может послужить хорошим суррогатом мысли.
1,Джордж Бернард Шоу,Курящие и некурящие не могут быть одинаково свободны в одном купе.
2,Наполеон III,"Этот порок приносит казне 100 миллионов франков налогов в год. Я бы запретил его хоть сейчас, если вы отыщете столь же доходную добродетель."
3,Марк Твен,"Если в раю нельзя курить, то я туда не хочу."
4,Генри Форд,"Если вы возьметесь изучать жизнеописания преступников, то увидите, что почти все они — заядлые курильщики."
5,Жорж Сименон,"Начинаешь курить, чтобы доказать, что ты мужчина. Потом пытаешься бросить курить, чтобы доказать, что ты мужчина."
6,Марк Твен,"Я взял себе за правило никогда не курить во сне и никогда не воздерживаться от курения, когда я не сплю."
7,Джек Бернет,"Не кури в постели: пепел, который придется потом подметать, может оказаться твоим собственным."
8,король Англии Яков I,"Обычай противный для глаз, омерзительный для носа, пагубный для мозга, вредный для легких, этот черный вонючий дым больше всего напоминает жуткие клубы, поднимающиеся из адской бездны!"
9,Джозеф Каттен,"Теперь столько пишут о вреде курения, что я твердо решил бросить читать."
10,Марк Твен,"Если в раю запрещено курить, я туда не хочу."
11,Ралф Уолдо Эмерсон,"Курение позволяет нам верить, что мы что-то делаем, когда мы ничего не делаем."
12,Фрэнк Заппа,Сигареты — это моя еда.
13,Лили Савидж,Однажды я уже бросала курить — это были худшие восемь часов моей жизни.
14,Росс Паркер,Делить помещение на секторы для курящих и некурящих — все равно что делить бассейн на секторы для писающих и неписающих.
15,Марк Твен,Я взял себе за правило никогда не курить больше одной сигары одновременно.
16,Ратмир Тумановский,Капля никотина убивает пять минут рабочего времени.
17,Жан Ришар,"Если вы думаете, что никотин не влияет на голос женщины, попробуйте стряхнуть пепел на ковер."
18,Марк Твен,"Сначала Бог создал мужчину. Потом создал женщину. Потом Богу стало жалко мужчину, и он дал ему табак."
19,Сандро Пертини,"Терпимости можно учиться у курящих. Еще ни один курящий не жаловался на то, что некурящий не курит."
20,Рэй Дауэн,Время выкуривания одной сигареты прямо пропорционально интенсивности протестов со стороны некурящих.
21,Джордж Бернс,Я курю от десяти до пятнадцати сигар в день. В моем возрасте нужно себя ограничивать.
22,Марк Твен,Я взял себе за правило не курить больше одной сигары одновременно.
23,Дмитрий Пашков,Работа есть способ заполнения времени между двумя перекурами.
24,Марк Твен,"Уверен ли я, что люблю какие-то определенные сигары? Ну конечно, абсолютно уверен — если только кто-нибудь не надует меня и не наклеит мою марку на какую-нибудь дрянь, — ведь я, как и все, отличаю мои сигары по марке, а вовсе не по вкусу."
25,Лешек Кумор,Отвыкнуть от некурения довольно легко.
26,Елизавета I,"Я видела многих мужчин, обративших свое золото в дым, но вы первый, кто обратил дым в золото."
27,Генри Стросс,"Я глубоко сочувствую тому американцу, которого настолько перепугали публикации о вреде курения, что ему пришлось бросить читать."
28,Саша Гитри,"Никогда не курите чужие сигары под предлогом, что вы не курите."
29,Леонид Французов,"Капля никотина убивает лошадь, а трамвай парализует."
30,Ралф Эмерсон,"Курение позволяет верить, что ты что то делаешь, когда ты ничего не делаешь."
31,Геннадий Малкин,"Как выпьешь, кажется, что бросишь курить."
32,Родни Дейнджерфилд,"Иногда мне хочется секса — например, после сигареты."
